havenot2	ginicnty	income_i	income_cnty	black_cnty	perc_bush04	pop_cnty	educ_i	age_i	gender_i	white	unemp_i	union_i	partyid_i	ideo_i	attend_i	fips
0	0.3828125	0.5	0.1616802215576172	0.4013647735118866	0.6623376607894897	0.001636965200304985	0.8333333134651184	41	0	1	0	0	1	0.75	1	1067
0	0.57421875	0.375	0.23623253405094147	0.5724945664405823	0.5064935088157654	0.06720617413520813	0.8333333134651184	67	0	1	1	0	0.75	0.75	1	1073
0	0.57421875	0.625	0.23623253405094147	0.5724945664405823	0.5064935088157654	0.06720617413520813	0.8333333134651184	62	1	1	1	0	0	0.5	0.800000011920929	1073
0	0.57421875	0.125	0.23623253405094147	0.5724945664405823	0.5064935088157654	0.06720617413520813	0.3333333432674408	34	0	0	1	0	0.25	0.5	0.800000011920929	1073
0	0.57421875	0.125	0.23623253405094147	0.5724945664405823	0.5064935088157654	0.06720617413520813	0.3333333432674408	64	1	1	0	0	0.75	0.75	0.800000011920929	1073
0	0.57421875	0.5	0.23623253405094147	0.5724945664405823	0.5064935088157654	0.06720617413520813	0.6666666865348816	29	1	1	0	0	1	1	0.20000000298023224	1073
0	0.57421875	0.44412046670913696	0.23623253405094147	0.5724945664405823	0.5064935088157654	0.06720617413520813	0.5	50	0	1	0	0	1	0.5	0.800000011920929	1073
1	0.6406249403953552	0.5	0.11289814859628677	0.16773094236850739	0.7272726893424988	0.0013904775260016322	0.6666666865348816	39	1	1	0	1	0.5	0.75	0.4000000059604645	1075
0	0.4570312201976776	0.125	0.1721707582473755	0.14034482836723328	0.58441561460495	0.009284130297601223	0.8333333134651184	63	0	0	1	0	0.25	0.25	0.6000000238418579	1077
0	0.4140625596046448	0.48261559009552	0.35142210125923157	0.3226945400238037	0.5714285373687744	0.032991837710142136	0.6666666865348816	21	1	0	0	0	0.25	0.5	0.6000000238418579	1089
	0.4140625596046448	0.25	0.35142210125923157	0.3226945400238037	0.5714285373687744	0.032991837710142136	0.3333333432674408	57	0	1	0	0	1	0.75	1	1089
1	0.5039061903953552	0.875	0.19010023772716522	0.4724876880645752	0.5714285373687744	0.04175880551338196	1	57	1	1	0	0	0	0	0.20000000298023224	1097
0	0.5039061903953552	0.875	0.19010023772716522	0.4724876880645752	0.5714285373687744	0.04175880551338196	0.3333333432674408	59	0	1	0	0	0.25	0.5	0.6000000238418579	1097
0	0.5039061903953552	1	0.19010023772716522	0.4724876880645752	0.5714285373687744	0.04175880551338196	0.3333333432674408	80	0	1	1	0	1	0.75	0.800000011920929	1097
1	0.5625	0.125	0.21973654627799988	0.7379836440086365	0.44155845046043396	0.023248963057994843	0.3333333432674408	30	1	1	0	0	1	0.5	0.4000000059604645	1101
1	0.5625	0.625	0.21973654627799988	0.7379836440086365	0.44155845046043396	0.023248963057994843	0.8333333134651184	35	0	0	0	0	0	0.5	0.800000011920929	1101
	0.3359375	0.875	0.4874841272830963	0.1406002938747406	0.8441558480262756	0.019135233014822006	0.8333333134651184	80	1	1	1	0	1	1	0.800000011920929	1117
0	0.6328125596046448	0.25	0.2043808251619339	0.40769678354263306	0.5974025726318359	0.01918145641684532	0.3333333432674408	53	0	0	0	0	0	1	1	1125
0	0.6328125596046448	0.625	0.2043808251619339	0.40769678354263306	0.5974025726318359	0.01918145641684532	0.6666666865348816	21	0	1	0	0	0	0.5	0.800000011920929	1125
1	0.6679688096046448	0.125	0	1	0.2207791954278946	0.0011105781886726618	0.3333333432674408	53	1	0	1	0	0.25	0.5	0.6000000238418579	1131
0	0.6015625	0.5	0.07268442958593369	0.0034896836150437593	0.2597402334213257	0.007085726596415043	0.6666666865348816	54	0	1	0	0	0.75	0.75	0	4001
1	0.6015625	0.25	0.07268442958593369	0.0034896836150437593	0.2597402334213257	0.007085726596415043	0.6666666865348816	43	1	0	0	0	0.75	0.5	0.20000000298023224	4001
1	0.4023437201976776	0.125	0.2322361320257187	0.05237336829304695	0.58441561460495	0.013128108344972134	0.6666666865348816	59	0	1	0	0	0.25	0	0	4003
0	0.4023437201976776	0.75	0.2825602889060974	0.014734582975506783	0.3636363744735718	0.01339007169008255	0.8333333134651184	33	0	1	1	0	0.5	0.75	1	4005
1	0.3671874403953552	0.375	0.1530032753944397	0.0034994708839803934	0.5714285373687744	0.005339302122592926	0.6666666865348816	60	1	0	0	0	0	1	0.800000011920929	4007
1	0.4375	0.375	0.0940021499991417	0.014075190760195255	0.6103895902633667	0.0019855324644595385	0.1666666716337204	40	1	1	1	0	0.75	0.75	0.20000000298023224	4012
1	0.41796875	0.125	0.3427668511867523	0.06503307819366455	0.5454545021057129	0.38436028361320496	0.6666666865348816	30	0	0	0	0	0.75	0.5	1	4013
0	0.41796875	0.875	0.3427668511867523	0.06503307819366455	0.5454545021057129	0.38436028361320496	0.6666666865348816	41	1	1	0	0	0.25	0.5	0.6000000238418579	4013
1	0.41796875	0.3646729588508606	0.3427668511867523	0.06503307819366455	0.5454545021057129	0.38436028361320496	0.3333333432674408	69	0	1	1	0	1	0.5	0.800000011920929	4013
0	0.41796875	0.625	0.3427668511867523	0.06503307819366455	0.5454545021057129	0.38436028361320496	0.8333333134651184	55	1	0	0	0	1	0.5	0.6000000238418579	4013
0	0.41796875	0.25	0.3427668511867523	0.06503307819366455	0.5454545021057129	0.38436028361320496	0.1666666716337204	79	0	0	1	0	0.25	0.75	0	4013
0	0.41796875	1	0.3427668511867523	0.06503307819366455	0.5454545021057129	0.38436028361320496	0.8333333134651184	53	0	0	0	0	0	0	0	4013
0	0.41796875	0.586670994758606	0.3427668511867523	0.06503307819366455	0.5454545021057129	0.38436028361320496	0.6666666865348816	50	1	0	0	0	0.75	0.75	0.4000000059604645	4013
0	0.41796875	0.75	0.3427668511867523	0.06503307819366455	0.5454545021057129	0.38436028361320496	0.8333333134651184	59	1	1	0	0	0.75	0.5	0.800000011920929	4013
0	0.4296874701976776	0.75	0.23924069106578827	0.04736959561705589	0.41558441519737244	0.09872687608003616	0.6666666865348816	50	0	1	0	0	1	0.75	0.800000011920929	4019
0	0.4296874701976776	0.5	0.23924069106578827	0.04736959561705589	0.41558441519737244	0.09872687608003616	0.6666666865348816	65	1	1	1	0	0.75	0.75	0.6000000238418579	4019
0	0.4296874701976776	0.3646729588508606	0.23924069106578827	0.04736959561705589	0.41558441519737244	0.09872687608003616	0.3333333432674408	18	0	0	1	0	0.25	0.5	0.20000000298023224	4019
0	0.4296874701976776	0.6030154824256897	0.23924069106578827	0.04736959561705589	0.41558441519737244	0.09872687608003616	0.8333333134651184	53	0	1	1	0	0	0.25	0.4000000059604645	4019
1	0.2265625149011612	0.875	0.30210787057876587	0.05759506672620773	0.5454545021057129	0.03362901508808136	0.3333333432674408	18	1	0	0	0	0.25	0.25	1	4021
1	0.4218749403953552	0.25	0.2150125503540039	0.007382444571703672	0.5974025726318359	0.02132646180689335	0.1666666716337204	74	0	1	1	0	0.25	0.75	0	4025
0	0.3749999701976776	0.375	0.2925947308540344	0.01483011245727539	0.6883116960525513	0.02139318361878395	0.1666666716337204	74	0	1	1	0	0.25	0.75	0.800000011920929	5007
0	0.5039061903953552	0.625	0.14501048624515533	0.11132688075304031	0.5064935088157654	0.009645713493227959	1	31	0	1	0	0	0.75	0.75	0.800000011920929	5051
0	0.3749999701976776	0.5235679745674133	0.13267378509044647	0.4141155481338501	0.4285714030265808	0.002210804959759116	0.6666666865348816	67	0	1	1	0	0.25	0.5	0	5057
1	0.4062500298023224	0	0.12091265618801117	0.030123738572001457	0.5454545021057129	0.003568485612049699	0	49	1	1	1	0	0.25	0.75	0.6000000238418579	5063
