GEOID,B02001_003E,B02001_001E,SUMLEVEL,ST,COUNTY,B19080_001E,B19080_002E,B19080_003E,B19080_004E,B19080_005E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B19013_001E,B01003_001E,COMPONENT,B19083_001E
05000US01097,138704,405331,050,01,097,15565,31329,50696,80202,137296,8132,23290,40531,63666,135699,237831,40476,405331,00,0.471
05000US01099,9134,22790,050,01,099,11024,22990,39043,70547,118990,5949,16733,30182,53251,108346,173422,29810,22790,00,0.482
05000US01101,118478,224369,050,01,101,17027,34207,54575,87470,158110,9530,25506,43573,69731,159231,295195,43015,224369,00,0.486
05000US01103,13376,115197,050,01,103,17990,33877,53803,85236,142177,10471,25591,43218,67772,133624,213118,42913,115197,00,0.44
05000US01105,7370,10689,050,01,105,10713,19742,32870,55822,91234,7878,15891,26298,41187,88019,144779,26270,10689,00,0.445
05000US01107,8299,19528,050,01,107,10905,19330,35554,63988,106881,6711,14703,27082,48685,94564,132640,27150,19528,00,0.463
05000US01109,11134,30136,050,01,109,10041,21356,35447,65973,137481,5469,15637,28161,49679,120280,203732,28065,30136,00,0.518
05000US01111,4894,22504,050,01,111,15057,27920,45383,68000,129198,9678,21391,35522,55596,126894,234151,35137,22504,00,0.47
05000US01113,20401,50029,050,01,113,13658,25164,39505,64236,108618,7685,19643,32079,50590,99091,152683,32064,50029,00,0.437
05000US01115,6830,77585,050,01,115,20088,37822,58493,86038,139621,11547,28871,48171,70796,130132,202645,48425,77585,00,0.412
05000US01117,17873,182996,050,01,117,31863,54314,81410,121803,210130,19003,42877,67536,100648,204992,359061,67534,182996,00,0.428
05000US01119,9402,13267,050,01,119,8083,14842,27060,46551,103091,3797,11698,20875,36164,90279,152265,20994,13267,00,0.523
05000US01121,25403,80190,050,01,121,13947,27075,45186,71954,125703,7267,19703,36025,57655,112167,172881,35865,80190,00,0.454
05000US01123,10454,40778,050,01,123,15759,28202,47080,74757,141010,9469,21573,36870,60038,148663,302467,36637,40778,00,0.504
05000US01125,55037,178754,050,01,125,13260,29947,50361,83714,147127,6369,21195,39767,65362,146328,266545,39579,178754,00,0.504
05000US01127,4372,68880,050,01,127,15547,28656,46516,75197,118576,9155,21954,36895,60096,117352,187725,36708,68880,00,0.444
05000US01129,4467,17212,050,01,129,11441,23911,50236,74888,120021,7272,17974,36634,61685,107120,148659,34738,17212,00,0.447
05000US01131,9112,12552,050,01,131,8421,15575,27068,53601,107275,3836,12223,21510,39115,89798,139769,22006,12552,00,0.513
05000US01133,40,24190,050,01,133,12883,22914,39693,62408,109939,8193,17816,30155,50196,104845,184358,29818,24190,00,0.462
05000US02013,298,2959,050,02,013,28382,46551,63392,98529,155902,19388,38678,55844,78303,139278,182058,56250,2959,00,0.357
05000US02016,565,5505,050,02,016,42626,63428,80535,121754,180288,22138,54212,72072,97852,161629,210713,72989,5505,00,0.336
05000US02020,16531,280389,050,02,020,33292,57287,83642,122993,204962,19616,45426,70221,101657,202231,347512,70151,280389,00,0.416
05000US02050,32,17151,050,02,050,22437,42510,66700,103571,170145,13103,32846,53552,84447,152987,214228,53120,17151,00,0.416
05000US02060,0,682,050,02,060,28682,59822,77813,117754,161026,17580,44530,65467,99863,144643,176376,62500,682,00,0.349
05000US02068,34,1529,050,02,068,37884,63428,85299,106976,152171,21714,48165,75580,93765,146825,193526,76250,1529,00,0.325
05000US02070,11,4946,050,02,070,32683,49583,73503,112861,194508,15511,40518,59904,93307,171318,241825,60466,4946,00,0.407
05000US02090,5522,96843,050,02,090,29947,53504,78988,112225,175979,16641,41493,65542,94786,172670,281377,65121,96843,00,0.402
05000US02100,10,2424,050,02,100,20626,37388,52313,90783,249071,15905,29138,44278,66890,159866,279822,44284,2424,00,0.448
05000US02105,0,2042,050,02,105,19874,33661,54740,73393,127358,12372,24604,43096,65760,106537,142539,43208,2042,00,0.383
05000US02110,202,30777,050,02,110,37664,60305,88054,126879,189518,21258,48744,75225,105932,195485,335562,76437,30777,00,0.394
05000US02122,315,53052,050,02,122,23162,44401,68205,106617,165892,13479,33231,56106,86453,154344,231178,55966,53052,00,0.416
05000US02130,34,13132,050,02,130,26541,46956,70952,100998,159827,14307,35857,58284,85125,145572,219097,57500,13132,00,0.392
05000US02150,100,13147,050,02,150,31975,47877,67057,110527,175904,18691,39371,59422,87731,162412,252433,59655,13147,00,0.391
05000US02164,9,1399,050,02,164,15678,31943,55922,87242,130660,6250,22312,42425,73641,122747,176541,41458,1399,00,0.449
05000US02170,853,82099,050,02,170,29861,54552,78517,111915,170642,16568,42243,66187,94090,161551,237397,66052,82099,00,0.383
05000US02180,200,9339,050,02,180,21650,43208,65083,102719,189162,12438,31636,55121,80568,154430,219602,55766,9339,00,0.424
05000US02185,73,6716,050,02,185,26527,50044,80747,123579,174180,12409,37428,65237,99543,165713,218639,66556,6716,00,0.409
05000US02188,8,7430,050,02,188,23844,45788,68024,107407,156218,12624,34837,57221,85688,142726,182839,57885,7430,00,0.393
05000US02195,0,3862,050,02,195,26499,55619,74057,105449,136586,15515,39951,63983,92804,135365,163931,61115,3862,00,0.353
05000US02198,0,5572,050,02,198,20372,37701,56637,91933,141328,13759,28778,46472,70239,129993,190393,45889,5572,00,0.403
05000US02220,94,8811,050,02,220,26361,44380,70264,121287,199767,18385,35013,58161,97356,165392,222796,58895,8811,00,0.402
